"species","leaf_type"
"quercus_agrifolia","E"
"quercus_alba","D"
"quercus_chrysolepis","E"
"quercus_douglasii","D"
"quercus_ellipsoidalis","D"
"quercus_garryana","D"
"quercus_imbricaria","D"
"quercus_laevis","D"
"quercus_lobata","D"
"quercus_lyrata","D"
"quercus_macrocarpa","D"
"quercus_margarettae","D"
"quercus_nigra","E"
"quercus_rubra","D"
"quercus_rugosa","E"
"quercus_texana","D"
"quercus_virginiana","E"
"quercus_wislizeni","E"
"quercus_chapmanii","E"
"quercus_robur","D"
"quercus_oleoides","E"
"quercus_candicans","D"
"quercus_crassipes","E"
"quercus_castanea","E"
"quercus_acutifolia","E"
"quercus_myrtifolia","E"
"quercus_hemisphaerica","E"
